CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
226.97,4.97,53.64,0.3,2.82,5.53,Pine Hills,45
320.44,31.19,23.6,0.55,7.93,24.91,Alhambra,38
211.95,2.7,77.25,0.09,3.03,16.1,North Las Vegas,105
280.38,4.03,67.95,1.0,4.97,5.67,Shawnee,77
494.0,27.76,0.12,0.46,16.27,20.25,Manteca,51
447.27,47.98,2.62,6.44,14.06,18.57,San Francisco,59
283.72,4.54,47.21,0.47,8.08,9.68,Ames,40
293.73,4.37,53.64,0.45,1.86,2.08,Bossier City,45
387.19,21.25,15.02,0.84,6.49,6.95,Erie,26
383.85,21.42,20.56,0.93,3.04,4.26,Renton,26
307.08,12.51,58.65,3.07,3.86,5.01,Joliet,49
480.65,39.07,2.33,3.37,9.84,10.71,Philadelphia,48
236.99,1.19,65.09,0.13,0.97,1.25,Mobile,69
220.3,1.03,72.24,0.59,1.59,3.93,Rapid City,91
640.87,56.21,0.03,2.0,20.06,36.41,Buena Park,70
507.36,58.26,6.17,1.19,11.19,19.07,Riverside,72
240.33,3.43,82.25,0.16,7.11,30.66,Santa Clarita,118
307.08,12.34,57.22,3.87,4.47,5.63,Bolingbrook,48
407.22,19.36,16.45,0.18,23.24,27.06,Visalia,65
494.0,41.47,0.64,2.83,9.38,10.54,Wilmington,51
350.48,12.68,32.54,0.59,7.63,7.75,Decatur,27
333.79,10.54,20.92,0.08,2.85,3.31,Worcester,17
627.52,41.13,0.01,0.37,15.73,20.09,Newton,51
620.84,57.58,0.72,1.34,16.69,26.06,Chandler,71
694.28,40.44,0.0,0.2,18.41,21.88,Hartford,56
377.18,16.79,18.06,2.03,3.86,3.94,Pittsburg,20
357.15,14.74,35.76,0.06,4.66,8.21,Nampa,30
280.38,3.04,64.37,0.81,2.87,3.34,Allen,66
327.11,10.11,32.54,0.33,1.63,2.61,Bellevue,27
253.68,7.11,72.24,0.16,4.48,16.95,Hesperia,91
280.38,3.47,45.42,0.02,2.1,3.15,Edmond,38
340.46,17.65,7.15,0.41,3.32,3.98,Beaverton,22
236.99,1.2,64.37,0.17,0.76,0.94,Gulfport,66
277.04,1.69,50.78,0.13,2.55,2.74,Lake Charles,43
310.42,10.97,29.68,0.12,10.13,13.81,Bakersfield,32
313.76,11.65,54.36,1.31,3.51,4.5,Houston,46
447.27,47.98,2.62,6.44,14.06,18.57,South San Francisco,59
534.06,29.47,26.11,4.47,26.4,29.55,Cambridge,72
480.65,30.85,0.0,4.05,25.33,31.72,Tracy,69
527.38,36.67,0.64,0.14,9.52,11.65,Waterbury,45
196.93,0.23,57.22,0.16,1.74,4.79,Caguas,48
307.08,3.34,57.22,0.3,2.28,2.66,Bryan,48
527.38,52.09,2.33,0.97,18.51,31.18,Sparks,65
674.25,39.07,0.0,1.25,28.19,40.32,Hayward,75
283.72,4.93,46.49,0.98,1.84,2.0,Montgomery,39
223.64,1.61,42.92,0.25,1.38,1.73,Dothan,36
607.49,90.48,4.47,5.19,25.73,43.78,Henderson,105
287.06,5.06,64.37,0.57,2.85,3.34,Carrollton,66
206.95,1.13,87.26,0.76,1.47,1.72,Boulder,130
337.12,24.33,24.68,1.83,7.58,16.97,Sunrise,30
807.76,32.56,0.0,1.94,26.02,33.01,Arden-Arcade,71
